iter	Passed	Remaining
625	1463	874
626	1465	871
627	1467	869
628	1468	866
629	1470	863
630	1472	861
631	1474	858
632	1475	855
633	1477	853
634	1479	850
635	1481	847
636	1482	845
637	1485	842
638	1486	839
639	1488	837
640	1490	834
641	1492	832
642	1494	829
643	1495	826
644	1497	824
645	1499	821
646	1502	819
647	1503	816
648	1506	814
649	1508	812
650	1509	809
651	1511	807
652	1513	804
653	1515	801
654	1517	799
655	1519	796
656	1520	794
657	1522	791
658	1524	788
659	1526	786
660	1528	783
661	1529	781
662	1531	778
663	1533	775
664	1535	773
665	1536	770
666	1538	768
667	1540	765
668	1542	762
669	1543	760
670	1546	758
671	1548	755
672	1550	753
673	1552	750
674	1554	748
675	1555	745
676	1557	743
677	1559	740
678	1561	738
679	1562	735
680	1564	732
681	1566	730
682	1568	727
683	1569	725
684	1571	722
685	1574	720
686	1576	718
687	1578	715
688	1580	713
689	1583	711
690	1584	708
691	1587	706
692	1589	704
693	1593	702
694	1595	700
695	1598	698
696	1601	695
697	1603	693
698	1606	691
699	1608	689
700	1611	687
701	1614	685
702	1616	683
703	1619	680
704	1621	678
705	1623	676
706	1626	673
707	1628	671
708	1630	669
709	1633	667
710	1635	664
711	1638	662
712	1640	660
713	1642	658
714	1645	655
715	1647	653
716	1650	651
717	1653	649
718	1655	647
719	1657	644
720	1660	642
721	1662	640
722	1665	638
723	1667	635
724	1670	633
725	1673	631
726	1675	629
727	1677	626
728	1680	624
729	1682	622
730	1685	620
731	1687	617
732	1689	615
733	1692	613
734	1694	610
735	1696	608
736	1699	606
737	1701	604
738	1704	601
739	1706	599
740	1709	597
741	1711	595
742	1713	592
743	1715	590
744	1718	588
745	1720	585
746	1722	583
747	1724	581
748	1726	578
749	1729	576
750	1731	574
751	1733	571
752	1736	569
753	1738	567
754	1741	565
755	1743	562
756	1746	560
757	1748	558
758	1750	555
759	1753	553
760	1755	551
761	1757	548
762	1759	546
763	1761	544
764	1763	541
765	1766	539
766	1768	537
767	1770	534
768	1772	532
769	1774	529
770	1776	527
771	1778	525
772	1780	522
773	1782	520
774	1784	518
775	1787	515
776	1789	513
777	1791	511
778	1793	508
779	1795	506
780	1797	504
781	1799	501
782	1801	499
783	1803	496
784	1806	494
785	1808	492
786	1809	489
787	1812	487
788	1814	485
789	1816	482
790	1818	480
791	1820	478
792	1822	475
793	1824	473
794	1826	471
795	1828	468
796	1830	466
797	1833	464
798	1836	461
799	1839	459
800	1841	457
801	1843	455
802	1846	452
803	1848	450
804	1851	448
805	1854	446
806	1856	443
807	1859	441
808	1861	439
809	1863	437
810	1866	434
811	1868	432
812	1871	430
813	1874	428
814	1876	425
815	1879	423
816	1881	421
817	1883	419
818	1886	416
819	1888	414
820	1891	412
821	1894	410
822	1896	407
823	1899	405
824	1902	403
825	1905	401
826	1907	399
827	1910	396
828	1912	394
829	1915	392
830	1917	389
831	1920	387
832	1922	385
833	1925	383
834	1927	380
835	1930	378
836	1933	376
837	1935	374
838	1938	372
839	1941	369
840	1943	367
841	1947	365
842	1949	363
843	1952	360
844	1955	358
845	1957	356
846	1960	354
847	1962	351
848	1965	349
849	1967	347
850	1970	344
851	1973	342
852	1976	340
853	1978	338
854	1981	336
855	1984	333
856	1987	331
857	1989	329
858	1992	327
859	1995	324
860	1997	322
861	2000	320
862	2003	318
863	2006	315
864	2008	313
865	2010	311
866	2014	308
867	2016	306
868	2018	304
869	2021	302
870	2023	299
871	2026	297
872	2029	295
873	2032	292
874	2034	290
875	2037	288
876	2039	286
877	2042	283
878	2044	281
879	2047	279
880	2049	276
881	2052	274
882	2054	272
883	2057	269
884	2060	267
885	2062	265
886	2065	263
887	2068	260
888	2073	258
889	2076	256
890	2079	254
891	2082	252
892	2084	249
893	2088	247
894	2091	245
895	2094	243
896	2097	240
897	2100	238
898	2103	236
899	2106	234
900	2109	231
901	2111	229
902	2113	227
903	2115	224
904	2117	222
905	2120	219
906	2121	217
907	2123	215
908	2125	212
909	2127	210
910	2129	208
911	2130	205
912	2133	203
913	2135	200
914	2137	198
915	2139	196
916	2141	193
917	2143	191
918	2144	189
919	2146	186
920	2148	184
921	2151	181
922	2153	179
923	2155	177
924	2156	174
925	2159	172
926	2160	170
927	2162	167
928	2164	165
929	2166	163
930	2168	160
931	2170	158
932	2171	155
933	2173	153
934	2175	151
935	2177	148
936	2179	146
937	2181	144
938	2182	141
939	2184	139
940	2186	137
941	2187	134
942	2189	132
943	2191	129
944	2193	127
945	2194	125
